module,type,name,res_id,src,value,comments
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__display_name,Display Name,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__display_name,Display Name,,
academy,model,"ir.model.fields,help",academy.field_academy_session__duration,Duration in days,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__end_date,End Date,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__gender__female,Female,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_follower_ids,Followers,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_channel_ids,Followers (Channels),,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_partner_ids,Followers (Partners),,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__day__friday,Friday,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__gender,Gender,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_form_view,General,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__section__github,Github,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_search_view,Group By,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__guardian,Guardian,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__id,ID,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_exception_icon,Icon,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_exception_icon,Icon,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_exception_icon,Icon,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_exception_icon,Icon,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__activity_exception_icon,Icon to indicate an exception activity.,,
academy,model,"ir.model.fields,help",academy.field_academy_course__activity_exception_icon,Icon to indicate an exception activity.,,
academy,model,"ir.model.fields,help",academy.field_academy_major__activity_exception_icon,Icon to indicate an exception activity.,,
academy,model,"ir.model.fields,help",academy.field_school_student__activity_exception_icon,Icon to indicate an exception activity.,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_needaction,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_unread,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_needaction,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_unread,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_needaction,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_unread,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_school_student__message_needaction,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_school_student__message_unread,"If checked, new messages require your attention.",,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_has_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_has_sms_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_has_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_has_sms_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_has_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_has_sms_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_school_student__message_has_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,help",academy.field_school_student__message_has_sms_error,"If checked, some messages have a delivery error.",,
academy,model,"ir.model.fields,field_description",academy.field_school_student__image,Image,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__instructor_id,Instructor,,
academy,model,"ir.model.fields,field_description",academy.field_res_partner__instructor,Instructor,,
academy,model,"ir.model.fields,field_description",academy.field_res_users__instructor,Instructor,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_is_follower,Is Follower,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_is_follower,Is Follower,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_is_follower,Is Follower,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_is_follower,Is Follower,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_school_student____last_update,Last Modified on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__write_uid,Last Updated by,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__write_date,Last Updated on,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__duration,Length in Days,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_main_attachment_id,Main Attachment,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_main_attachment_id,Main Attachment,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_main_attachment_id,Main Attachment,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_main_attachment_id,Main Attachment,,
academy,model,"ir.actions.act_window,name",academy.action_academy_major,Major,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__major,Major,,
academy,model,"ir.ui.menu,name",academy.academy_menu_major,Major,,
academy,model_terms,"ir.ui.view,arch_db",academy.major_form_view,Major Form,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__gender__male,Male,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_has_error,Message Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_has_error,Message Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_has_error,Message Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_has_error,Message Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_ids,Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_ids,Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_ids,Messages,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_ids,Messages,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__guardian__mom,Mom,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__day__monday,Monday,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_search_view,My Courses,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__name,Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__name,Name,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__name,Name,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_date_deadline,Next Activity Deadline,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_date_deadline,Next Activity Deadline,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_date_deadline,Next Activity Deadline,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_date_deadline,Next Activity Deadline,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_summary,Next Activity Summary,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_summary,Next Activity Summary,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_summary,Next Activity Summary,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_summary,Next Activity Summary,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_type_id,Next Activity Type,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_type_id,Next Activity Type,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_type_id,Next Activity Type,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_type_id,Next Activity Type,,
academy,model,"ir.ui.menu,name",academy.academy_menu_no_clue,No Clue,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_needaction_counter,Number of Actions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_needaction_counter,Number of Actions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_needaction_counter,Number of Actions,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_needaction_counter,Number of Actions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_has_error_counter,Number of errors,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_has_error_counter,Number of errors,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_has_error_counter,Number of errors,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_has_error_counter,Number of errors,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_needaction_counter,Number of messages which requires an action,,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_needaction_counter,Number of messages which requires an action,,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_needaction_counter,Number of messages which requires an action,,
academy,model,"ir.model.fields,help",academy.field_school_student__message_needaction_counter,Number of messages which requires an action,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_has_error_counter,Number of messages with delivery error,,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_has_error_counter,Number of messages with delivery error,,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_has_error_counter,Number of messages with delivery error,,
academy,model,"ir.model.fields,help",academy.field_school_student__message_has_error_counter,Number of messages with delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__seats,Number of seats,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__message_unread_counter,Number of unread messages,,
academy,model,"ir.model.fields,help",academy.field_academy_course__message_unread_counter,Number of unread messages,,
academy,model,"ir.model.fields,help",academy.field_academy_major__message_unread_counter,Number of unread messages,,
academy,model,"ir.model.fields,help",academy.field_school_student__message_unread_counter,Number of unread messages,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__section__odoo_programming,Odoo Programming,,
academy,model,"res.groups,name",academy.group_manager,OpenAcademy / Manager,,
academy,model,"ir.model.fields.selection,name",academy.selection__school_student__gender__other,Other,,
academy,model_terms,"ir.ui.view,arch_db",academy.student_form,Parent/Guardian,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_graph_view,Participations by Courses,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_form_view,Registered sessions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__responsible_id,Responsible,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_search_view,Responsible,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__activity_user_id,Responsible User,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__activity_user_id,Responsible User,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__activity_user_id,Responsible User,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__activity_user_id,Responsible User,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_has_sms_error,SMS Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_has_sms_error,SMS Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_has_sms_error,SMS Delivery error,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_has_sms_error,SMS Delivery error,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_form_view,Schedule,,
academy,model,"ir.ui.menu,name",academy.academy_menu_school,School,,
academy,model,"ir.model.fields,field_description",academy.field_academy_wizard__session_ids,Session,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_calendar_view,Session Calendar,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_form_view,Session Form,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_gantt_view,Session Gantt,,
academy,model_terms,"ir.ui.view,arch_db",academy.session_list_view,Session Tree,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_session_kanban_view,Session name:,,
academy,model,"ir.actions.act_window,name",academy.action_academy_session,Sessions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__session_ids,Sessions,,
academy,model,"ir.ui.menu,name",academy.academy_menu_session,Sessions,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_form_view,Sessions,,
academy,model_terms,"ir.ui.view,arch_db",academy.partner_instructor_form_view,Sessions,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__start_date,Start Date,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
academy,model,"ir.model.fields,help",academy.field_academy_course__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
academy,model,"ir.model.fields,help",academy.field_academy_major__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
academy,model,"ir.model.fields,help",academy.field_school_student__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
academy,model,"ir.actions.act_window,name",academy.action_school_student,Student,,
academy,model,"ir.ui.menu,name",academy.academy_menu_student,Student,,
academy,model_terms,"ir.ui.view,arch_db",academy.student_form,Student,,
academy,model,"ir.model,name",academy.model_school_student,Student Table,,
academy,model_terms,"ir.ui.view,arch_db",academy.wizard_form_view,Subscribe,,
academy,model_terms,"ir.actions.act_window,help",academy.action_academy_academy,TEST PAGE!,,
academy,model,"ir.model.fields,field_description",academy.field_academy_session__taken_seats,Taken seats,,
academy,model_terms,"ir.ui.view,arch_db",academy.academy_form,Task form,,
academy,model,"res.partner.category,name",academy.teacher1,Teacher / Level 1,,
academy,model,"res.partner.category,name",academy.teacher2,Teacher / Level 2,,
academy,model,"ir.ui.menu,name",academy.academy_menu_academy,Test,,
academy,model,"ir.model.constraint,message",academy.constraint_academy_course_name_unique,The course title must be unique,,
academy,model,"ir.model.constraint,message",academy.constraint_academy_course_name_description_check,The title of the course should not be the description,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__day__thursday,Thursday,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__section,Topic,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__day__tuesday,Tuesday,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__activity_exception_decoration,Type of the exception activity on record.,,
academy,model,"ir.model.fields,help",academy.field_academy_course__activity_exception_decoration,Type of the exception activity on record.,,
academy,model,"ir.model.fields,help",academy.field_academy_major__activity_exception_decoration,Type of the exception activity on record.,,
academy,model,"ir.model.fields,help",academy.field_school_student__activity_exception_decoration,Type of the exception activity on record.,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_unread,Unread Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_unread,Unread Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_unread,Unread Messages,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_unread,Unread Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__message_unread_counter,Unread Messages Counter,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__message_unread_counter,Unread Messages Counter,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__message_unread_counter,Unread Messages Counter,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__message_unread_counter,Unread Messages Counter,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__value,Value,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__value2,Value2,,
academy,model,"ir.model.fields,field_description",academy.field_academy_academy__website_message_ids,Website Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__website_message_ids,Website Messages,,
academy,model,"ir.model.fields,field_description",academy.field_academy_major__website_message_ids,Website Messages,,
academy,model,"ir.model.fields,field_description",academy.field_school_student__website_message_ids,Website Messages,,
academy,model,"ir.model.fields,help",academy.field_academy_academy__website_message_ids,Website communication history,,
academy,model,"ir.model.fields,help",academy.field_academy_course__website_message_ids,Website communication history,,
academy,model,"ir.model.fields,help",academy.field_academy_major__website_message_ids,Website communication history,,
academy,model,"ir.model.fields,help",academy.field_school_student__website_message_ids,Website communication history,,
academy,model,"ir.model.fields.selection,name",academy.selection__academy_academy__day__wednesday,Wednesday,,
academy,model,"ir.model,name",academy.model_academy_wizard,Wizard: Quick Registration of Attendees to Sessions,,
academy,model,"ir.model,name",academy.model_academy_academy,academy.academy,,
academy,model,"ir.model.fields,field_description",academy.field_academy_course__description,description,,
academy,model_terms,"ir.ui.view,arch_db",academy.course_form_view,description,,
academy,model,"ir.model,name",academy.model_academy_major,major and type,,
academy,model_terms,"ir.ui.view,arch_db",academy.wizard_form_view,or,,
academy,model_terms,"ir.ui.view,arch_db",academy.student_form,student form,,
